"";"eRemoved";"nRemoved"
"24406";446969;443619
"24419";449600;433600
"24424";463680;437250
"24426";460130;447050
"24450";448960;433000
"24495";450570;431240
"24554";448300;434900
"24555";453600;422200
"24556";466410;440960
"24558";450510;431350
"24559";461390;451866
"24619";463938;455564
"24629";453600;451300
"24630";465300;452300
"24673";462311;446822
"24683";464951;456585
"24692";452325;453896
"24720";453954;451672
"24738";454200;451900
"24754";463780;452320
"24757";464800;458400
"24776";479018;448324
"24780";468100;451300
"24784";459005;460282
"24786";463100;462100
"24798";453890;451720
"24865";463414;451839
"24896";465788;452309
"24914";437682;410536
"24915";402950;445800
"24924";439200;404150
"24931";437400;406100
"24943";437700;410600
"24948";445500;404700
"24960";441000;403400
"24961";437650;410700
"24968";445600;404550
"24998";437663;410409
"25004";434870;408090
"25037";425670;403260
"25068";435500;403550
"25109";435123;407492
"25111";435787;409679
"25177";429110;399490
"25183";445750;402940
"25187";435945;409626
"25189";439900;410900
"25197";436000;402000
"25210";425701;402821
"25214";433228;409781
"25215";437724;410537
"25218";418250;404460
"25227";437682;410684
"25238";443760;441040
"25242";437639;410307
"25244";438000;406800
"25247";437608;410644
"25270";436500;406300
"25271";465181;407695
"25272";454600;402700
"25274";460600;407150
"25290";456700;414000
"25291";460828;406977
"25312";450100;410800
"25315";465800;411100
"25316";455600;409700
"25318";461350;407700
"25338";461418;407743
"25344";460000;406000
"25347";461237;404799
"25391";460663;398761
"25433";455400;409200
"25469";465570;410522
"25502";452300;398400
"25538";455987;400290
"25575";460622;399170
"25584";469200;400500
"25587";460400;406800
"25607";462237;404634
"25609";456600;415150
"25610";449908;411361
"25617";467526;410605
"25619";457868;401655
"25624";460500;407000
"25637";455250;409340
"25649";460670;409680
"25651";460653;398555
"25662";457409;402057
"25686";456690;413860
"25687";470311;408865
"25688";456400;403900
"25721";456180;401830
"25722";468424;400151
"25727";462266;404682
"25730";468712;413342
"25734";464254;410514
"25743";465359;410298
"25751";457700;404300
"25770";444196;395103
"25773";443859;395179
"25786";445361;401059
"25815";444603;400926
"25826";442400;392900
"25831";445400;401300
"25855";446300;397970
"25887";446900;405600
"25900";446269;396958
"25906";445800;397000
"25920";441880;391710
"25924";442850;393940
"25934";445706;400262
"25957";446733;383841
"25958";445400;395700
"25959";442500;394500
"26000";450473;393998
"26040";442625;391977
"26055";443006;394850
"26067";443576;394639
"26071";442726;393774
"26082";443438;395248
"26091";442636;392002
"26106";451034;385470
"26147";444400;397700
"26186";442410;393880
"26235";445777;397085
"26244";443760;395350
"26448";443380;394490
"26449";449815;393367
"26455";450654;392491
"26458";441200;392400
"26471";439800;392100
"26483";442100;392400
"26589";441300;392600
"26596";442500;387000
"26597";445780;397050
"26609";446626;399932
"26621";443798;395167
"26623";442506;393750
"26641";442970;393646
"26642";442660;393760
"26653";443000;394750
"26702";442048;391643
"26725";442700;387700
"26729";440860;393450
"26736";442461;393220
"26740";446160;397040
"26747";450840;386350
"26872";441400;391350
"26874";445540;395840
"26875";446526;385994
"26893";441400;392350
"26898";443200;395100
"26905";444800;394500
"26908";443000;394800
"27038";441556;392408
"27074";438612;389098
"27076";428825;392067
"27083";436311;387999
"27086";444134;381182
"27101";436550;388020
"27107";436384;394654
"27110";437500;389800
"27111";438736;389140
"27142";434400;389400
"27149";441000;389100
"27150";436688;388910
"27159";438300;388235
"27164";438490;388710
"27182";436989;389300
"27191";434574;388929
"27199";444165;381343
"27215";444300;381800
"27217";434900;388600
"27223";438100;389400
"27228";438201;389789
"27233";435837;385758
"27243";432187;392013
"27263";443400;385900
"27266";444426;381577
"27330";443749;338741
"27345";437270;388153
"27350";436956;388185
"27363";444320;381970
"27374";436939;389497
"27384";437363;393609
"27386";439568;388460
"27387";439750;388400
"27388";440230;391538
"27392";443627;338798
"27397";425670;402810
"27419";434257;388903
"27421";438137;389158
"27422";432050;392080
"27442";438850;392400
"27444";436200;394200
"27453";437200;388700
"27462";438900;389090
"27487";437466;389333
"27493";433900;390200
"27498";435148;385114
"27505";437570;388495
"27518";438370;392870
"27565";438791;389187
"27573";435917;388665
"27577";432894;391669
"27581";435079;388718
"27591";434790;387770
"27606";435200;388400
"27610";439490;391640
"27765";435964;388206
"27775";437229;389661
"27793";440900;386800
"27794";437700;388800
"27811";436270;394130
"27885";439632;388156
"27888";439760;391530
"27890";433750;398200
"27918";429100;397450
"27945";436600;384000
"27972";434700;390550
"27995";443200;384300
"28023";444778;382099
"28025";435084;388660
"28026";437090;388565
"28034";443960;381520
"28488";437707;388798
"28503";437012;389340
"28519";437356;388861
"28535";439750;391300
"28541";444342;381825
"28545";434810;388900
"28593";434954;387991
"28606";440380;391320
"28612";437500;389300
"28625";417488;432596
"28627";407197;438323
"28630";418714;433410
"28640";412100;447760
"28663";418320;432510
"28665";416700;434800
"28666";416800;431800
"28676";418435;432731
"28695";419120;432830
"28696";417913;432321
"28738";418261;432186
"28739";417400;429020
"28755";408700;432800
"28757";415313;433248
"28759";413234;433066
"28761";409550;429717
"28784";417835;432221
"28793";418200;432600
"28820";417762;432657
"28823";417961;432529
"28833";414000;431861
"28836";406859;441191
"28878";415766;434403
"28879";416698;432327
"28880";417913;432378
"28881";403477;448659
"28887";416994;432070
"28894";417300;432340
"28895";406000;440800
"28970";416247;428004
"28993";406398;442259
"29017";418900;439000
"29041";405003;437337
"29065";411717;438214
"29089";406396;442259
"29102";415879;434734
"29103";417049;432126
"29106";416900;431750
"29107";417880;433040
"29112";415223;436339
"29132";407200;441600
"29148";415887;431651
"29150";406400;441900
"29166";415890;438621
"29175";411200;441200
"29179";415900;434600
"29204";417277;432132
"29210";417900;432000
"29240";420910;429530
"29247";417100;432100
"29275";415582;428108
"29276";417331;432872
"29277";418400;432600
"29285";403865;446739
"29296";407300;442200
"29299";417134;433391
"29300";414844;427952
"29301";408275;428119
"29310";414971;422709
"29312";408671;426195
"29318";411545;420330
"29349";414205;422695
"29379";396230;425055
"29413";408699;426099
"29450";406975;423645
"29485";404700;417200
"29488";403806;424620
"29495";417551;421210
"29499";410552;420133
"29504";410955;428651
"29508";407718;424475
"29518";408077;424996
"29522";405231;428079
"29550";415012;422611
"29563";389370;424200
"29577";409996;421235
"29579";403945;419595
"29595";409830;425770
"29610";403596;425140
"29612";408361;428330
"29621";417490;421020
"29626";409498;422184
"29633";400630;422178
"29634";409570;422040
"29654";398785;427182
"29661";414600;418000
"29666";405300;422800
"29681";409330;422320
"29691";408961;427859
"29698";407868;425621
"29706";423995;421371
"29725";420858;410478
"29730";424270;422514
"29731";414000;412200
"29735";423700;424100
"29737";420100;423600
"29740";420500;419500
"29746";414112;412601
"29751";423200;426800
"29758";423700;427300
"29784";423970;420235
"29787";419690;408738
"29788";424246;422510
"29790";410800;410800
"29802";420930;423761
"29807";424828;421164
"29812";423189;426899
"29820";422510;420214
"29822";411097;415742
"29826";419400;420200
"29838";408365;414343
"29842";420300;419400
"29850";421927;419799
"29854";422765;426744
"29871";412015;411611
"29872";427030;411380
"29873";421676;408772
"29896";408233;414338
"29903";418240;425060
"29908";424337;422234
"29921";415485;416346
"29938";411269;411327
"29948";408300;414400
"29955";422300;420100
"29958";420800;423800
"29960";423373;426991
"29961";422760;427610
"29963";421800;419900
"29967";414899;417952
"29999";422937;421632
"30001";415168;417960
"30009";414690;411650
"30014";423900;421200
"30022";422070;419880
"30200";421984;419918
"30209";417600;417300
"30294";423700;420700
"30342";425088;420358
"30347";424889;423917
"30351";411841;415992
"30399";413405;416146
"30403";411077;411264
"30430";414793;417780
"30466";408912;413411
"30474";419354;420306
"30480";414765;416045
"30486";425200;419700
"30494";420947;416655
"30496";430790;431070
"30498";425838;425711
"30499";426379;433063
"30514";427900;434200
"30525";432862;430170
"30570";432493;431537
"30571";421118;434359
"30578";436300;430300
"30579";420500;445000
"30581";443400;432500
"30582";431130;425670
"30591";431769;432597
"30595";432982;431813
"30603";430740;430750
"30607";421914;434286
"30612";428800;432200
"30613";428230;432150
"30621";426360;433070
"30630";432269;431640
"30637";443140;434220
"30638";422221;434487
"30639";432560;431600
"30642";422469;434750
"30644";430120;426640
"30646";429115;432857
"30649";433140;431829
"30654";433405;432050
"30655";432672;428576
"30664";435750;437010
"30666";419600;433200
"30676";427080;428050
"30715";431580;431030
"30749";424773;428571
"30791";418986;419160
"30799";432760;432470
"30802";427199;431807
"30818";426788;443644
"30821";426788;443617
"30826";419500;440800
"30837";417886;444508
"30863";435390;436970
"30919";422593;434613
"30953";431200;428200
"30986";427460;434450
"31013";444779;445697
"31052";429645;426889
"31054";419706;441132
"31088";437930;427930
"31100";425840;429930
"31146";430100;430500
"31186";428200;432600
"31225";428417;433474
"31249";442960;427720
"31261";426196;427357
"31294";427020;430810
"31317";429850;429970
"31322";425598;431503
"31330";432020;431930
"31777";429634;426885
"31812";429500;436000
"31844";443343;449148
"31858";419450;440900
"31863";432840;432020
"31870";432470;432210
"31881";422150;434160
"31882";427400;434500
"31884";417960;444444
"31889";427900;434000
"31898";426958;433361
"31934";432350;431900
"31953";427403;442183
"31954";426790;433140
"32214";430150;430550
"32218";436670;430650
"32219";442479;424351
"32272";428758;417965
"32300";443321;425720
"32304";440622;424781
"32308";447913;424735
"32320";442071;424903
"32340";428705;421134
"32342";434223;420022
"32343";440600;424500
"32345";449843;423182
"32360";433819;420932
"32383";428805;421048
"32389";444405;418150
"32398";440121;422664
"32400";443670;424540
"32425";432577;418736
"32486";448314;411091
"32487";449590;422990
"32503";440841;422876
"32529";428154;417951
"32534";440390;417090
"32535";445977;410850
"32540";445960;410755
"32576";445970;410540
"32582";445937;410947
"32583";433638;419407
"32585";442933;426080
"32606";427798;421399
"32607";433487;420029
"32624";446000;410500
"32632";434450;419950
"32634";446277;422160
"32641";446252;422199
"32644";448170;410750
"32648";440339;423104
"32700";426040;419960
"32702";451180;423850
"33008";440090;423230
"33026";444700;411800
"33127";436140;422090
"33128";434700;420400
"33130";445552;422332
"33135";434145;336075
"33142";436848;336145
"33153";435500;332800
"33166";437171;333570
"33172";439936;335116
"33173";433619;336227
"33183";442503;347501
"33270";438552;334118
"33361";437051;335809
"33363";436353;334079
"33369";437397;334308
"33391";436771;336496
"33515";438489;334157
"33547";436838;333846
"33597";434893;332739
"33599";436900;333800
"33608";439256;335357
"33631";437210;336053
"33634";436051;337785
"33685";437779;334114
"33694";438900;335170
"33695";442774;345813
"33717";436251;351954
"33719";435160;351818
"33720";443401;354365
"33815";441750;356300
"33828";442997;354581
"33832";441497;356542
"33834";443447;352857
"33847";431117;337413
"33849";443004;354603
"33864";442994;347145
"33873";445663;357111
"33885";447277;376155
"33899";445150;357470
"33943";443643;354960
"33973";446310;354908
"33976";453095;367384
"33981";443000;355110
"34015";452813;368560
"34021";436980;375000
"34042";437185;374849
"34043";444900;373000
"34060";437727;374227
"34066";438900;373900
"34088";437077;374818
"34091";443349;373888
"34098";437177;374243
"34099";440103;373134
"34108";438728;373961
"34118";444902;371497
"34138";439400;374600
"34150";438650;373600
"34163";439200;374500
"34166";438600;372400
"34236";416390;339212
"34237";426000;365000
"34302";415893;332937
"34303";422994;355757
"34307";419710;345250
"34321";416303;344688
"34324";432143;360391
"34331";420020;349998
"34340";427800;357300
"34359";416930;345963
"34421";446019;342495
"34444";446962;343144
"34452";443982;340921
"34460";447510;339460
"34977";446918;342755
"34988";436204;340137
"34989";447935;339137
"34990";445738;342526
"35067";449925;333171
"35076";450087;333024
"35082";446974;339571
"35095";447610;339160
"35128";447287;339397
"35181";447890;339340
"35191";447963;339255
"35224";446795;342548
"35227";445805;342494
"35297";446441;332736
"35314";403290;393000
"35318";401900;394900
"35346";400503;386294
"35349";400860;395216
"35427";408290;375200
"35489";402036;396786
"35498";443746;376548
"35515";444300;376500
"35518";442600;308190
"35841";444530;337100
"35906";439878;358577
"35910";446700;381900
"35926";440800;368300
"35929";430828;318910
"35933";430534;318691
"35939";431479;319158
"35948";429373;319668
"35955";428034;321056
"36043";439040;325427
"36051";428050;329490
"36062";428210;329490
"36066";458965;307371
"36067";454096;303834
"36097";461819;307176
"36176";461631;307209
"36179";458882;302789
"36238";458214;305050
"36239";460144;305203
"36244";458203;302436
"36253";454161;303862
"36255";458900;307300
"36323";461303;307363
"36327";460973;305018
"36343";460132;305371
"36347";453879;303873
"36380";456820;308480
"36385";471800;302150
"36386";456841;308543
"36405";461468;305072
"36406";460205;305635
"36445";457960;308685
"36507";459910;311210
"36526";461315;307360
"36530";459171;302403
"36531";451940;298330
"36537";446700;292700
"36539";458300;298400
"36543";455573;298120
"36592";457561;298262
"36599";455383;298156
"36642";459813;294905
"36646";453187;299922
"36649";453190;299808
"36655";453468;295313
"36656";453186;299780
"36666";453860;300110
"36667";453210;299864
"36691";452952;299658
"36693";452852;321437
"36705";448514;318165
"36712";462164;311920
"36731";457199;315575
"36748";459139;322265
"36752";456922;321692
"36753";460412;308849
"36775";448899;320541
"36816";460528;311511
"36822";457281;315624
"36862";457120;315520
"36887";452362;321088
"36956";461836;309387
"36958";459700;311510
"36961";452073;321178
"36984";453367;320911
"36987";454481;320286
"37031";456227;307093
"37032";459110;322060
"37056";457022;289012
"37069";453452;283560
"37110";454000;280600
"37132";474300;287800
"37176";469800;293200
"37213";459700;288355
"37216";469430;293246
"37217";451055;285314
"37221";474800;289600
"37222";469790;293230
"37225";442103;293692
"37226";445400;289900
"37243";442221;292016
"37245";443745;297499
"37287";444597;295373
"37298";440406;293283
"37304";443560;309290
"37326";440521;292733
"37358";439900;293720
"37634";440410;292740
"38956";439480;303105
"38957";436199;300808
"38958";479761;306524
"38999";474342;318935
"39040";479674;312264
"39041";466759;323237
"39046";472300;320300
"39073";485965;323814
"39077";479468;339747
"39090";478710;309795
"39092";480628;339393
"39131";444500;328320
"39147";431214;316117
"39151";429960;316940
"39156";442950;316370
"39164";442031;314544
"39203";444860;329952
"39215";445867;325661
"39225";443027;311862
"39231";441402;314368
"39242";448140;327330
"39248";438000;318600
"39292";442051;314621
"39316";461490;300131
"39325";459687;298110
"39339";459599;298131
"39343";459688;298105
"39347";461550;299965
"39391";495110;313500
"39393";491200;296700
"39406";494020;303800
"39407";489400;312700
"39428";492689;301902
"39449";490900;297900
"39454";494885;314056
"39463";482102;315172
"39477";534065;341584
"39483";533055;343298
"39485";533605;342563
"39495";533874;342407
"39522";534148;341536
"39549";533796;342124
"39567";532200;343400
"39578";533057;343298
"39579";527530;335193
"39580";526407;366093
"39582";529741;389319
"39585";529900;352900
"39606";532988;389264
"39614";526077;370279
"39630";526000;370200
"39654";545200;369000
"39659";532897;389110
"39678";514306;370458
"39683";528118;397107
"39696";519800;360100
"39707";555200;364300
"39726";523340;361400
"39728";553700;362400
"39748";524034;382052
"39790";533020;389250
"39802";532800;388900
"39804";545600;381575
"39807";523400;361500
"39833";526687;368494
"39840";499941;371789
"39845";499880;370400
"39854";498650;370771
"39873";498889;370659
"39886";496200;371120
"39903";498760;370710
"39934";498170;371070
"39937";492802;365085
"39948";505320;363200
"39949";507221;346827
"39968";509080;365670
"39970";489413;362690
"39972";492897;364816
"39973";492702;364702
"39976";493948;367746
"39984";492920;364808
"39991";497646;341758
"40023";494018;367754
"40034";497868;364504
"40043";507311;346846
"40050";502735;351711
"40052";499130;370200
"40054";493910;367760
"40067";496000;352200
"40069";491000;372200
"40076";488126;363478
"40077";507528;346647
"40082";493400;367900
"40083";548478;322176
"40084";548800;317400
"40101";526104;324962
"40120";536100;324300
"40123";540431;328455
"40125";526190;312810
"40129";525200;320800
"40144";523041;316796
"40149";489610;334935
"40180";510620;319279
"40189";512468;314658
"40216";489045;339219
"40222";509139;328035
"40231";510700;318700
"40232";494004;321592
"40235";510756;319366
"40254";510500;320500
"40264";490251;324673
"40265";497871;342671
"40267";499862;320676
"40269";511067;319290
"40270";490243;324445
"40279";516448;324490
"40280";490800;335300
"40299";514268;318775
"40324";490400;333300
"40339";514800;328900
"40346";510600;319700
"40378";494200;337500
"40387";491940;333440
"40455";515500;313200
"40476";490900;335400
"40480";510700;319600
"40484";514390;318740
"40506";490400;337500
"40511";514071;311311
"40519";510659;319536
"40526";488900;336300
"40527";491800;335100
"40534";494702;348562
"40574";483185;389519
"40581";509876;404357
"40582";511374;407858
"40590";494590;390180
"40613";495371;392816
"40617";510360;393154
"40618";483143;390028
"40637";519837;397745
"40638";490799;375120
"40639";494773;390417
"40664";506133;394599
"40670";504902;409104
"40671";511312;369150
"40678";509943;389638
"40697";488236;387895
"40701";480578;390822
"40702";487816;376669
"40714";489750;289260
"40715";486352;286006
"40738";489709;290360
"40749";491740;291250
"40756";488761;290791
"40759";490379;290409
"40769";489181;290404
"40771";489028;291127
"40805";491600;288400
"40834";490100;288771
"40850";490228;289728
"40883";492390;288620
"40884";459486;277230
"40887";466100;274200
"40892";466300;284600
"40898";474932;271280
"40899";458320;261162
"40916";458091;261847
"40943";466110;284550
"40948";454300;253100
"40966";458200;261800
"40980";457269;269659
"40988";450223;253476
"40989";475381;271154
"41018";455512;262425
"41052";450220;253395
"41069";455820;264062
"41078";475017;268626
"41087";497000;278200
"41089";496000;273100
"41101";498500;280700
"41104";504510;285687
"41105";497350;263930
"41125";493854;267317
"41200";496759;289393
"41210";494087;267650
"41247";502020;273600
"41265";499225;267488
"41299";500640;300100
"41300";500700;268850
"41302";500898;271467
"41307";500600;3e+05
"41312";487168;276575
"41335";485905;279404
"41365";487000;276600
"41369";484800;283400
"41422";493500;276600
"41424";482500;280160
"41435";474700;261600
"41457";473397;260423
"41458";481800;261600
"41462";481600;261400
"41470";493760;268820
"41480";475676;259373
"41489";481618;261993
"41497";474400;260300
"41517";473100;260600
"41553";481597;262012
"41584";473254;260529
"41592";471210;262990
"41676";474200;260100
"41687";474157;260891
"41701";477615;259085
"41735";417990;608940
"41736";474742;261471
"41746";475500;259600
"41747";496270;263750
"41751";475090;262200
"41756";471270;262980
"41779";466896;259613
"41795";454909;233503
"41815";454620;249345
"41816";458310;242350
"41824";455500;233750
"41834";455814;243602
"41836";452281;240402
"41844";449300;242200
"41868";458395;242322
"41880";468666;249343
"41911";470441;261363
"41919";459111;237765
"41928";490698;266655
"41937";490862;269761
"41938";490221;269692
"41958";491600;270300
"41966";486551;268955
"41967";490207;269594
"41973";485516;264564
"41991";489591;270296
"41994";489334;270288
"42006";489899;270183
"42039";490000;270200
"42067";490900;269500
"42075";489800;268470
"42078";491400;270300
"42092";455072;337824
"42105";455031;343504
"42126";461801;340191
"42146";459611;339634
"42149";455019;337785
"42151";458523;338948
"42165";453561;341188
"42177";456024;342158
"42183";453676;345113
"42191";455557;342309
"42201";455257;338025
"42211";456260;338090
"42220";458684;338903
"42235";454707;346705
"42239";455233;337658
"42258";457941;339134
"42286";455128;337971
"42291";455030;337720
"42371";455231;338030
"42375";448899;354991
"42394";454486;348849
"42414";451010;358500
"42423";452743;359762
"42459";454700;344800
"42460";446398;358369
"42465";454701;348454
"42495";450460;357080
"42501";454529;348861
"42507";454662;348417
"42543";451120;357090
"42578";457616;380109
"42587";456119;382101
"42590";468204;376332
"42592";468239;376360
"42631";466691;387633
"42639";456656;381017
"42658";474740;371313
"42665";459289;379503
"42672";466135;383100
"42677";457641;380016
"42698";470143;385756
"42701";467700;398000
"42704";457460;380610
"42745";466532;387348
"42806";480681;392761
"42813";457950;370360
"42815";457600;370000
"42818";469386;382844
"42871";477122;379846
"42919";467230;375308
"42927";469820;385550
"42928";480500;387500
"42929";466707;387570
"42934";448600;335800
"42942";448750;334700
"42951";448288;336394
"42970";448644;345175
"43002";448667;345130
"43007";454038;336683
"43047";449957;344665
"43049";448593;335892
"43058";449555;344822
"43079";463360;339910
"43088";460300;349720
"43093";461866;339962
"43118";460821;346904
"43130";462483;340289
"43138";463320;339930
"43230";460329;350109
"43281";462632;341063
"43283";454651;362196
"43310";453347;360274
"43314";452770;360007
"43333";453953;363157
"43338";456753;359254
"43356";454363;363487
"43383";453365;363419
"43386";452802;368478
"43390";463200;365000
"43393";457160;361380
"43419";452615;359599
"43451";456707;366792
"43507";453316;364168
"43510";458397;359284
"43517";479250;351922
"43546";462700;354310
"43548";468709;368093
"43561";464316;357421
"43564";474799;369714
"43566";488900;371800
"43569";465220;360610
"43577";484613;370098
"43583";481400;355200
"43623";470510;347780
"43625";481372;355206
"43635";476891;368150
"43636";481317;355307
"43647";495260;360650
"43701";479815;354312
"43712";477416;367802
"43717";467692;367630
"43724";481230;354335
"43733";478775;353617
"43743";465490;360592
"43790";470638;347767
"43792";465592;360464
"43855";481110;354390
"43869";468400;368280
"43879";473590;333710
"43887";466864;336165
"43888";458150;328770
"43911";451441;324184
"43915";465183;327790
"43923";459300;337148
"43933";457555;336352
"43978";450600;329600
"43992";329920;248363
"43994";353950;237970
"44014";353706;242450
"44020";354123;225264
"44022";366818;254061
"44028";353570;257830
"44040";362348;254784
"44042";352400;238500
"44078";334112;238022
"44081";359007;229713
"44082";339345;260319
"44084";350363;248420
"44085";351177;225648
"44088";339101;260016
"44090";338353;259370
"44092";353882;238197
"44137";351026;241188
"44163";330100;255900
"44186";349044;259920
"44218";355240;238720
"44220";352090;238704
"44221";331226;256577
"44248";345525;235406
"44255";370230;237199
"44276";352648;238142
"44282";353356;237898
"44319";360417;224329
"44341";366791;254001
"44361";351035;254563
"44371";372900;292300
"44410";339723;328140
"44412";332749;330261
"44413";338966;325150
"44415";341596;308754
"44417";346600;295153
"44431";351448;268676
"44434";354300;319900
"44447";351643;274337
"44458";348091;298639
"44460";375946;307353
"44463";340704;320510
"44465";342825;283439
"44471";337232;328708
"44478";364347;329948
"44506";345174;319659
"44507";351551;313743
"44511";365000;331225
"44528";337196;319420
"44529";342110;332475
"44540";329701;328460
"44541";354195;268346
"44542";367132;327586
"44556";357285;277710
"44558";329955;327744
"44593";355025;341080
"44629";372923;292384
"44655";337028;327854
"44658";375203;307642
"44660";349409;309146
"44665";362947;301695
"44666";332214;337388
"44670";361224;299466
"44680";368202;3e+05
"44685";351020;272230
"44687";332076;337373
"44703";352001;316920
"44710";349839;331457
"44729";346286;313417
"44730";352367;276801
"44732";350109;313156
"44745";339220;312080
"44752";353008;311858
"44755";350276;315148
"44761";373049;300644
"44767";342937;309214
"44773";343002;283417
"44811";351770;313920
"44819";352390;329950
"44825";351024;316325
"44865";371777;291557
"44875";347700;303600
"44876";370006;305004
"44882";366228;304725
"44883";372958;314527
"44890";370017;305161
"44903";371213;305297
"45000";372460;311820
"45001";366400;307700
"45004";370007;305005
"45029";369900;304900
"45041";368950;313950
"45088";366142;307466
"45092";375747;318525
"45120";370929;304013
"45128";371485;305536
"45161";370766;311911
"45162";370890;304102
"45167";370014;305157
"45169";371310;308810
"45172";371370;311330
"45212";371714;304897
"45234";366240;311380
"45244";368341;312962
"45259";373300;309100
"45261";371209;305040
"45262";366775;305861
"45264";371110;304500
"45299";399343;309585
"45379";404698;318731
"45458";400442;313163
"45486";399160;309720
"45488";404922;316302
"45489";402404;306693
"45491";403302;312599
"45501";397840;308280
"45831";399620;311240
"45840";425188;323872
"45848";423471;323161
"45927";424312;322624
"45945";420314;320713
"45946";425378;324207
"45955";423541;323149
"45978";407440;334946
"46026";423397;322414
"46027";409384;334653
"46106";408665;334785
"46108";423710;322956
"46138";419148;324442
"46148";403892;309164
"46227";413188;309838
"46306";413100;310379
"46371";413211;309862
"46373";424527;310496
"46375";414253;313598
"46396";403960;309220
"46416";417710;304024
"46452";410120;300727
"46460";415221;311841
"46467";405067;307367
"46469";379095;346591
"46548";383438;345700
"46563";385026;350490
"46602";385200;350100
"46620";386280;347345
"46623";383599;351356
"46645";383010;346290
"46646";381563;340928
"46648";382576;351623
"46650";385284;349715
"46653";385140;350580
"46684";384696;350743
"46694";385247;350111
"46705";383111;354915
"46711";384104;346384
"46732";384180;350000
"46747";382347;349099
"46756";384007;348216
"46762";385292;292670
"46815";388483;303398
"46894";386130;291408
"46973";376630;329710
"46975";391389;310423
"46977";393827;312723
"47004";398671;306627
"47009";391734;308628
"47019";396830;305352
"47033";396340;306340
"47102";391990;308560
"47132";398613;306655
"47134";386830;284210
"47136";391973;308659
"47151";390330;304720
"47153";397104;313167
"47173";387352;285556
"47180";392426;325089
"47260";390100;332300
"47339";392235;325832
"47350";384960;334100
"47351";390399;322499
"47352";403620;329790
"47357";394932;324148
"47359";385335;334026
"47363";383966;335562
"47405";386015;326208
"47424";392862;325719
"47427";392529;319274
"47449";383650;319600
"47457";399944;326171
"47458";391769;332355
"47467";390300;331980
"47485";383800;314790
"47486";392407;324903
"47488";385400;329500
"47489";392364;325085
"47503";385170;323430
"47505";381027;329312
"47508";388339;354785
"47588";399519;342504
"47667";398670;357269
"47752";401739;362743
"47753";399302;342317
"47765";399469;342498
"47773";398939;342335
"47790";399768;343039
"47791";398012;355196
"47806";418488;316025
"47807";401171;360890
"47808";402515;347221
"47811";398698;357196
"47814";401811;340288
"47816";422100;299800
"47818";422001;300703
"47832";423445;303055
"47838";424016;303011
"47848";421893;301376
"47851";417266;302885
"47857";421797;303534
"47863";424000;302772
"47869";388681;341055
"47870";387831;348938
"47875";392041;342864
"47878";389059;340739
"47899";389579;347877
"47942";385259;350527
"47954";388996;340782
"47978";387614;349752
"47987";391441;344903
"47991";386079;349210
"47993";390323;344351
"48001";386522;349204
"48009";386796;343157
"48019";387057;346785
"48020";389966;344248
"48023";387487;349604
"48028";389800;350000
"48043";386620;350330
"48049";385424;351234
"48052";391496;343186
"48069";387569;349708
"48076";386582;350233
"48100";387890;349810
"48112";391472;343269
"48120";390702;342086
"48127";387940;349840
"48525";387712;348684
"48538";387811;349804
"48545";386970;348585
"48546";385410;350240
"48549";388049;349854
"48552";387855;343420
"48583";385911;349470
"48593";387400;350330
"48595";418475;291557
"48605";426161;299051
"48613";419180;291290
"48622";431470;297970
"49184";422024;296861
"49208";419650;291150
"49210";420900;285300
"49211";432078;297452
"49233";429738;302275
"49235";419981;290227
"49239";428594;296238
"49242";418906;293106
"49243";420387;290588
"49245";426211;299051
"49277";421840;299050
"49278";420590;219240
"49286";421140;284390
"49293";421200;285600
"49300";428570;297570
"49315";435590;289286
"49344";435470;285080
"49360";437404;291169
"49390";434620;292196
"49399";436148;285544
"49417";435702;289667
"49420";434816;289169
"49435";434787;292263
"49436";435987;285684
"49437";435459;292496
"49444";435728;286155
"49445";435108;292665
"49471";436141;292413
"49479";434590;292190
"49487";450160;276204
"49496";449703;276237
"49518";454397;273072
"49531";444500;273500
"49537";448856;275345
"49541";442290;279381
"49542";450315;276200
"49573";449694;276156
"49581";449040;276040
"49600";450500;276000
"49606";442150;278360
"49607";442195;279525
"49613";429430;277921
"49623";451626;276158
"49646";450279;276211
"49669";427186;254828
"49697";443651;264774
"49726";426235;240323
"49749";417514;248692
"49772";408892;273435
"49776";445226;261472
"49785";426700;248900
"49800";421493;250011
"49809";415374;249481
"49818";418070;256811
"49853";438300;261300
"49855";415480;245901
"49883";445224;261470
"49885";429423;272093
"49916";430927;265418
"49952";435841;274218
"49962";442161;263831
"49964";430492;263913
"49970";431927;265150
"49972";432316;265011
"49973";438690;286130
"49980";409115;287196
"49985";409915;283998
"50013";403821;289193
"50024";411466;284483
"50033";408950;288146
"50043";409166;287304
"50044";411564;289980
"50050";409463;287733
"50051";415400;286100
"50053";415411;286047
"50056";411889;298936
"50058";409647;286529
"50065";409265;287734
"50072";410811;292207
"50080";415865;286093
"50088";404800;287900
"50093";408880;289619
"50102";409843;283839
"50103";411784;289730
"50138";410329;284755
"50139";412636;296092
"50153";409100;289700
"50156";409434;288205
"50170";409711;290079
"50172";409176;285749
"50177";412684;287610
"50191";410949;289784
"50196";409828;283515
"50208";409061;287170
"50216";404164;288216
"50235";407916;288320
"50245";408291;289140
"50264";408960;287660
"50343";407598;285830
"50359";406024;288326
"50365";411878;284501
"50372";415500;286050
